Employer,City,Zip Code,LWIB Area,Notice Date
Life Care Centers of America  ,Cleveland  ,37320  ,5  ,04/30/2015 
Life Care Centers of America  ,Cleveland  ,37320  ,7  ,04/30/2015 
Life Care Centers of America  ,Cleveland  ,37320  ,7  ,04/30/2015 
Life Care Centers of America  ,Cleveland  ,37320  ,12  ,04/30/2015 
Life Care Centers of America  ,Cleveland  ,37320  ,6  ,04/30/2015 
Littler Employment & labor Solutiions Worldwide  ,Atlanta  ,30326  ,7  ,08/14/2015 
livingsocial  ,Washington  ,20005  ,6  ,03/16/2016 
LM Industries  ,Chandler  ,85226  ,7  ,05/01/2020 
Lockheed Martin Corporation Information Systems  ,Boulder  ,80301  ,7  ,04/11/2014 
Loews Ventana Canyon Resort  ,Tucson  ,85750  ,6  ,05/29/2020 
Loving Hearts Foster Care (CPES)  ,Tucson  ,85750  ,6  ,05/18/2020 
Loving hearts Thrift Store  ,Tempe  ,85282  ,7  ,05/18/2020 
Lucille’s Smokehouse Bar-B-Que  ,Tempe  ,85282  ,7  ,04/20/2020 
Macy'S  ,Mesa  ,85202  ,7  ,01/08/2014 
"Macy's Credit and Customer Services, Inc.  ",Tempe  ,85281  ,7  ,01/06/2020 
Magellan  ,Phoenix  ,85034  ,5  ,01/27/2014 
Magna Cosma pwer Systems  ,Phoenix  ,85043  ,5  ,05/20/2013 
Management & Training Corporation  ,Centerville  ,84014  ,11  ,10/28/2015 
Manpower Group  ,Milwaukee  ,53212  ,7  ,03/17/2017 
ManpowerGroup  ,Milwaukee  ,53212  ,7  ,08/04/2016 
MAPFRE Insurance - Enterprise Contact Center  ,Gilbert  ,85234  ,7  ,01/13/2020 
"Marcolin USA, Inc  ",Somerville  ,08876  ,7  ,09/30/2014 
Margaritaville  ,Orlando  ,32819  ,7  ,11/12/2014 
Maricopa Integrated Health System (CCC)  ,Phoenix  ,85008  ,5  ,04/25/2014 
Marketfare Foods  ,Phoenix  ,85034  ,7  ,06/11/2010 
Marriott  ,Bethesda  ,20817  ,7  ,11/29/2017 
Marriott  ,Phoenix  ,85004  ,5  ,04/03/2018 
"Marriott International, Inc.  ",Bethesda  ,20817  ,5  ,05/18/2015 
"marriott International, Inc.  ",Bethesda  ,20817  ,6  ,08/30/2012 
Marriott/Starwood Scottsdale Office  ,Scottsdale  ,85254  ,7  ,11/29/2016 
"Marvell Semiconductor, Inc.  ",Santa Clara  ,94054  ,7  ,10/16/2015 
Marvell Semiconductors Inc.  ,Chandler  ,85286  ,7  ,07/09/2018 
Massage Envy  ,Scottsdale  ,85260  ,7  ,04/15/2020 
McCormick Scottsdale  ,Scottsdale  ,85253  ,7  ,03/30/2020 
Medieval Times Dinner & Tournament  ,Scottsdale  ,85258  ,7  ,04/08/2020 
MetLife  ,Scottsdale  ,85260  ,7  ,05/01/2012 
Microsemi Corporation  ,Phoenix  ,85251  ,7  ,07/12/2010 
Mike Campbell & Associates  ,Phoenix  ,85009  ,7  ,07/06/2011 
Milgard Windows & Doors  ,Chandler  ,85225  ,7  ,10/17/2011 
Mind Body  ,Scottsdale  ,85257  ,7  ,4/7/2020
Mindbody  ,Scottsdale  ,85257  ,7  ,04/03/2020 
Mineral Park Inc.  ,Golden Valley  ,86413  ,11  ,12/29/2014 
"Mojave Desert Minerals, LLC  ",Arvada  ,80002  ,11  ,07/12/2012 
Movement for Life Inc.  ,San Obispo  ,93401  ,6  ,03/25/2020 
Nestle USA and Nestle Dryers Ice Cream l  ,Phoenix  ,85004  ,5  ,08/16/2019 
New 4 U (CPES)  ,Douglas  ,85850  ,1  ,05/18/2020 
"NewStar Fresh Foods, LLC  ",Salinas  ,93901  ,9  ,08/15/2014 
"NewStar Fresh Foods, LLC  ",Salinas  ,93901  ,9  ,09/06/2013 
Nifty thrifty (CPES)  ,Benson  ,86005  ,1  ,05/18/2020 
Northrop Grumman  ,Falls Church  ,22042  ,1  ,03/09/2020 
Northrop Grumman  ,Herndon  ,20171  ,9  ,05/24/2013 
"Northrop Grumman Technical Services, Inc.  ",Yuma Proving Ground  ,85365  ,9  ,03/01/2011 
"O'Reilly Automotive, Inc.  ",Phoenix  ,85043  ,7  ,09/09/2010 
"O.P.E.N. America, Inc. dba: OpenWorks  ",Phoenix  ,85043  ,7  ,05/01/2012 
Oakwood Worldwide US LP  ,Phoenix  ,85021  ,5  ,10/29/2019 
old spagetti Factory  ,Chandler  ,85226  ,7  ,03/24/2020 
Onni Properties  ,Phoenix  ,85019  ,5  ,03/25/2020 
Open Door  ,Scottsdale  ,85251  ,7  ,04/15/2020 
OTG Management Tucson LLC  ,Tucson  ,85756  ,6  ,12/27/2016 
"Ottobock Orthopedic Services , LLC  ",Tempe  ,85282  ,7  ,08/01/2013 
PAE Government Services  ,Yuma  ,85365  ,9  ,05/28/2020 
Page Elks Lodge 2498  ,Page  ,86040  ,10  ,04/06/2020 
Palm Harbor Homes  ,Tempe  ,85821  ,7  ,11/19/2010 
Papersource  ,Pheonix  ,85016  ,5  ,03/27/2020 
PaperWorks  ,Bala Cynwyd  ,19004  ,5  ,01/31/2014 
Pappas Restaurants  ,Phoenix  ,85003  ,5  ,03/25/2020 
Paradigm Precision  ,Tempe  ,85283  ,7  ,11/14/2019 
Passport Health  ,Scottsdale  ,85262  ,7  ,03/23/2020 
Paul Martin's American Grill  ,Irvine  ,92618  ,7  ,04/06/2020 
Peabody Western Coal Company  ,kayenta  ,86033  ,14  ,06/13/2019 
"Philidor Rx Services, LLC  ",Hatboro  ,19040  ,5  ,01/05/2016 
