ID,Company name,City,ZIP,County,Est. Impact,LWDA,Date
GA201900540,"300 West Bay, LLC",Savannah,31401,Chatham,10,20,03/20/2020
GA201900541,Integrity Transformations Community Dev Corp,Atlanta,30318,Fulton,3,3,04/20/2020
GA201900543,Enterprise Holdings,College Park,30337,Clayton,73,7,04/30/2020
GA201900544,Enterprise Holdings,Sandy Springs,30328,Fulton,110,3,04/30/2020
GA201900545,Enterprise  Holdings,Norcross,30093,Gwinnett,232,7,04/30/2020
GA201900546,Coral Hospitality-GA LLC,Helen,30545,White,69,2,03/24/2020
GA201900547,"Coral Hospitality-GA, LLC",Young Harris,30582,Towns,173,2,03/24/2020
GA201900548,"Coral Hospitality-GA, LLC",Fort Gaines,39851,Clay,25,14,03/23/2020
GA201900549,"Coral Hospitality-GA, LLC",Cordele,31015,Crisp,124,15,03/23/2020
GA201900550,"Coral Hospitality-GA, LLC",McRae,31037,Telfair,26,16,03/23/2020
GA201900551,"Coral Hospitality-GA, LLC",Dawsonville,30534,Dawson,59,2,03/24/2020
GA201900554,Accurate reliable measurement,roberta,31078,Crawford,7,11,03/28/2020
GA201900556,Select Medical,Atlanta,30354,Fulton,60,3,04/17/2020
GA201900558,"Aludyne Columbus, LLC",Columbus,31904,Muscogee,166,14,04/27/2020
GA201900559,"Trophy & Gift Center, Inc.",Augusta,30904,Richmond,1,12,04/27/2020
GA201900560,Retrospective Salon LLC,Acworth,30101,Cobb,1,4,04/26/2020
GA201900563,The Hertz Corporation,College Park`,30337,Clayton,162,7,04/14/2020
GA201900568,Gate Gourmet,Atlanta,30354,Fulton,392,3,05/07/2020
GA201900569,Gate Gourmet,Atlanta,30354,Fulton,1429,3,05/07/2020
GA201900570,Gate Gourmet,Atlanta,30354,Fulton,180,3,05/07/2020
GA201900571,Asbury Automotive,Duluth,30096,Gwinnett,15,7,04/03/2020
GA201900572,Asbury Automotive,Alpharetta,30009,Fulton,10,3,04/03/2020
GA201900573,Asbury Automotive,Roswell,30076,Fulton,10,3,04/03/2020
GA201900575,"SodexoMagic, Delta Sky Club",Atlanta,30320,Clayton,246,7,04/17/2020
GA201900580,Havertys Furniture Companies,Braselton,30517,Jackson,122,9,04/30/2020
GA201900597,Parkway Products LLC,Marietta,30066,Cobb,58,4,05/01/2020
GA201900599,Gulfstream Aerospace Corporation,Savannah,31408,Chatham,650,20,05/01/2020
GA201900602,Regal Corporate Headquarters,Atlanta,30363,Fulton,43,3,03/17/2020
