Company Name,Layoff Total,Workforce Local Area,WARN Date,Reason for Layoff,Occupations,Layoff Date(s)
VMWare,38,Broomfield,1/26/2016,Downsize,,
VMWare,48,Pikes Peak/Teller,1/26/2016,Downsize,,
Climax Molybdenum Co - Henderson Mine & Mill - REV#1,210,Jefferson,1/25/2016,Downsize,,
Republic Airways Holdings,158,Denver,1/25/2016,Closure,,
Sprint,247,Arapahoe/Douglas,1/22/2016,Downsize,,
Concentrix,348,Boulder,1/18/2016,Closure,,
Walmart Store #3021,65,Arapahoe/Douglas,1/15/2016,Closure,,
Walmart Store #5002,78,Denver,1/15/2016,Closure,,
Safeway,98,Denver,1/4/2016,Closure,,
Climax Molybdenum Co - Henderson Mine & Mill -,200,Jefferson,11/3/2015,Job Attached,,
Northwest Pipe Company,65,Denver,7/12/2016,Closure,,
Jacobs Technology Inc - ETASS Group.,70,Pikes Peak/Teller,2/29/2016,Downsize,,
Jones International University,28,Arapahoe/Douglas,1/31/2016,Closure,,
VMWare,38,Broomfield,1/26/2016,Downsize,,
VMWare,48,Pikes Peak/Teller,1/26/2016,Downsize,,
Sprint,247,Arapahoe/Douglas,1/22/2016,Downsize,,
Walmart Store #3021,65,Arapahoe/Douglas,1/15/2016,Closure,,
Walmart Store #5002,78,Denver,1/15/2016,Closure,,
Safeway,98,Denver,1/4/2016,Closure,,
WPX Energy-Rev to 3/2/15,2,Denver,11/30/2015,Closure,,
Union Pacific Company,300,Denver,11/16/2015,Closure,,
Target Corporation - TCC Cooking Company LLC,241,Pikes Peak/Teller,11/13/2015,Closure,,
Fidelity Exploration & Production Company,106,Denver,11/4/2015,Closure,,
"Baker Hughes, Inc.",2,Adams County,11/3/2015,Downsize,,
Climax Molybdenum Company,200,Jefferson County,11/3/2015,Job Attached Layoff,,
Lockheed Martin,126,Pikes Peak/Teller,10/23/2015,Downsize,,
Baker Hughes Inc.,17,Adams County,9/30/2015,Downsize,,
Bowie Resources LLC,78,Western,9/30/2015,Downsize,,
Select Medical,68,Denver,9/25/2015,Closure,,
Qualcomm,158,Boulder,9/17/2015,Downsize,,
EOS CCA,60,Denver,9/15/2015,Closure,,
Western Forge,150,Pikes Peak/Teller,9/2/2015,Downsize,,
ECMC Group,137,Adams County,9/1/2015,Downsize,,
Quad/Graphics,151,Various Regions,8/27/2015,Closure,,
Baker Hughes Inc.,124,Adams County,8/12/2015,Downsize,,
Lockheed Martin-Rev to 7/20/15 WARN,N/A,Pikes Peak/Teller,8/6/2015,Downsize,,
Curian Capital,224,Denver,8/4/2015,Closure,,
Ouray Silver Mines,82,Western,8/4/2015,Job Attached Layoff,,
Moneygram Payment Systems Inc. (MPSI),1,Jefferson County,7/31/2015,Closure,,
KIRA,364,Pikes Peak/Teller,7/30/2015,Downsize,,
Diamond Wire Material Technologies,45,Pikes Peak/Teller,7/28/2015,Downsize,,
Lockheed Martin,119,Pikes Peak/Teller,7/20/2015,Downsize,,
Lockheed Martin,130,Pikes Peak/Teller,7/20/2015,Downsize,,
Sinton Dairy Foods Company/ Borden-Rev to 3/16/15,N/A,Pikes Peak/Teller,7/20/2015,Closure,,
UTI,10,Pikes Peak/Teller,7/17/2015,Closure,,
WPX Energy-Rev to 3/2/15,91,Denver,7/9/2015,Closure,,
Urban Fulfillment,265,Jefferson County,7/6/2015,Closure,,
Sinton Dairy Foods Company/ Borden-Rev to 3/16/15,N/A,Pikes Peak/Teller,7/1/2015,Closure,,
Intuit,59,Arapahoe/Douglas,6/25/2015,Downsize,,
Moneygram Payment Systems Inc. (MPSI),1,Jefferson County,6/14/2015,Closure,,
Albertsons #632,38,Mesa County,6/4/2015,Closure,,
